¦¤mBi,¦¤mW,¦¤mO
-3.449,-8.932,0
-3.439014286,-8.951971429,0
-3.429028571,-8.971942857,0
-3.419042857,-8.991914286,0
-3.409057143,-9.011885714,0
-3.399071429,-9.031857143,0
-3.389085714,-9.051828571,0
-3.3791,-9.0718,0
-3.369114286,-9.091771429,0
-3.359128571,-9.111742857,0
-3.349142857,-9.131714286,0
-3.339157143,-9.151685714,0
-3.329171429,-9.171657143,0
-3.319185714,-9.191628571,0
-3.3092,-9.2116,0
-3.299214286,-9.231571429,0
-3.289228571,-9.251542857,0
-3.279242857,-9.271514286,0
-3.269257143,-9.291485714,0
-3.259271429,-9.311457143,0
-3.249285714,-9.331428571,0
-3.2393,-9.3514,0
-3.229314286,-9.371371429,0
-3.219328571,-9.391342857,0
-3.209342857,-9.411314286,0
-3.199357143,-9.431285714,0
-3.189371429,-9.451257143,0
-3.179385714,-9.471228571,0
-3.1694,-9.4912,0
-3.159414286,-9.511171429,0
-3.149428571,-9.531142857,0
-3.139442857,-9.551114286,0
-3.129457143,-9.571085714,0
-3.119471429,-9.591057143,0
-3.109485714,-9.611028571,0
-3.0995,-9.631,0
-3.089514286,-9.650971429,0
-3.079528571,-9.670942857,0
-3.069542857,-9.690914286,0
-3.059557143,-9.710885714,0
-3.049571429,-9.730857143,0
-3.039585714,-9.750828571,0
-3.0296,-9.7708,0
-3.019614286,-9.790771429,0
-3.009628571,-9.810742857,0
-2.999642857,-9.830714286,0
-2.989657143,-9.850685714,0
-2.979671429,-9.870657143,0
-2.969685714,-9.890628571,0
-2.9597,-9.9106,0
-2.949714286,-9.930571429,0
-2.939728571,-9.950542857,0
-2.929742857,-9.970514286,0
-2.919757143,-9.990485714,0
-2.909771429,-10.01045714,0
-2.899785714,-10.03042857,0
-2.8898,-10.0504,0
-3.440689157,-8.915377349,-0.005540723
-3.430727504,-8.935396902,-0.005524682
-3.420765852,-8.955416454,-0.00550864
-3.4108042,-8.975436007,-0.005492599
-3.400842547,-8.995455559,-0.005476558
-3.390880895,-9.015475112,-0.005460516
-3.380919243,-9.035494664,-0.005444475
-3.37095759,-9.055514217,-0.005428434
-3.360995938,-9.075533769,-0.005412392
-3.351034286,-9.095553322,-0.005396351
-3.341072633,-9.115572874,-0.00538031
-3.331110981,-9.135592427,-0.005364269
-3.321149329,-9.155611979,-0.005348227
-3.311187676,-9.175631532,-0.005332186
-3.301226024,-9.195651084,-0.005316145
-3.291264372,-9.215670637,-0.005300103
-3.281302719,-9.235690189,-0.005284062
-3.271341067,-9.255709742,-0.005268021
-3.261379415,-9.275729294,-0.005251979
-3.251417762,-9.295748847,-0.005235938
-3.24145611,-9.315768399,-0.005219897
-3.231494458,-9.335787952,-0.005203855
-3.221532806,-9.355807504,-0.005187814
-3.211571153,-9.375827057,-0.005171773
-3.201609501,-9.395846609,-0.005155731
-3.191647849,-9.415866162,-0.00513969
-3.181686196,-9.435885714,-0.005123649
-3.171724544,-9.455905267,-0.005107608
-3.161762892,-9.475924819,-0.005091566
-3.151801239,-9.495944372,-0.005075525
-3.141839587,-9.515963924,-0.005059484
-3.131877935,-9.535983477,-0.005043442
-3.121916282,-9.556003029,-0.005027401
-3.11195463,-9.576022582,-0.00501136
-3.101992978,-9.596042134,-0.004995318
-3.092031325,-9.616061687,-0.004979277
-3.082069673,-9.636081239,-0.004963236
-3.072108021,-9.656100792,-0.004947194
-3.062146368,-9.676120344,-0.004931153
-3.052184716,-9.696139897,-0.004915112
-3.042223064,-9.716159449,-0.004899071
-3.032261411,-9.736179002,-0.004883029
-3.022299759,-9.756198554,-0.004866988
-3.012338107,-9.776218107,-0.004850947
-3.002376454,-9.796237659,-0.004834905
-2.992414802,-9.816257212,-0.004818864
-2.98245315,-9.836276764,-0.004802823
-2.972491497,-9.856296317,-0.004786781
-2.962529845,-9.876315869,-0.00477074
-2.952568193,-9.896335422,-0.004754699
-2.94260654,-9.916354974,-0.004738657
-2.932644888,-9.936374527,-0.004722616
-2.922683236,-9.956394079,-0.004706575
-2.912721583,-9.976413632,-0.004690534
-2.902759931,-9.996433184,-0.004674492
-2.892798279,-10.01645274,-0.004658451
-2.882836627,-10.03647229,-0.00464241
-3.432378313,-8.898754699,-0.011081446
-3.422440723,-8.918822375,-0.011049363
-3.412503133,-8.938890052,-0.011017281
-3.402565542,-8.958957728,-0.010985198
-3.392627952,-8.979025404,-0.010953115
-3.382690361,-8.999093081,-0.010921033
-3.372752771,-9.019160757,-0.01088895
-3.362815181,-9.039228434,-0.010856867
-3.35287759,-9.05929611,-0.010824785
-3.34294,-9.079363787,-0.010792702
-3.33300241,-9.099431463,-0.01076062
-3.323064819,-9.119499139,-0.010728537
-3.313127229,-9.139566816,-0.010696454
-3.303189639,-9.159634492,-0.010664372
-3.293252048,-9.179702169,-0.010632289
-3.283314458,-9.199769845,-0.010600207
-3.273376867,-9.219837522,-0.010568124
-3.263439277,-9.239905198,-0.010536041
-3.253501687,-9.259972874,-0.010503959
-3.243564096,-9.280040551,-0.010471876
-3.233626506,-9.300108227,-0.010439793
-3.223688916,-9.320175904,-0.010407711
-3.213751325,-9.34024358,-0.010375628
-3.203813735,-9.360311256,-0.010343546
-3.193876145,-9.380378933,-0.010311463
-3.183938554,-9.400446609,-0.01027938
-3.174000964,-9.420514286,-0.010247298
-3.164063373,-9.440581962,-0.010215215
-3.154125783,-9.460649639,-0.010183133
-3.144188193,-9.480717315,-0.01015105
-3.134250602,-9.500784991,-0.010118967
-3.124313012,-9.520852668,-0.010086885
-3.114375422,-9.540920344,-0.010054802
-3.104437831,-9.560988021,-0.010022719
-3.094500241,-9.581055697,-0.009990637
-3.084562651,-9.601123373,-0.009958554
-3.07462506,-9.62119105,-0.009926472
-3.06468747,-9.641258726,-0.009894389
-3.05474988,-9.661326403,-0.009862306
-3.044812289,-9.681394079,-0.009830224
-3.034874699,-9.701461756,-0.009798141
-3.024937108,-9.721529432,-0.009766059
-3.014999518,-9.741597108,-0.009733976
-3.005061928,-9.761664785,-0.009701893
-2.995124337,-9.781732461,-0.009669811
-2.985186747,-9.801800138,-0.009637728
-2.975249157,-9.821867814,-0.009605645
-2.965311566,-9.841935491,-0.009573563
-2.955373976,-9.862003167,-0.00954148
-2.945436386,-9.882070843,-0.009509398
-2.935498795,-9.90213852,-0.009477315
-2.925561205,-9.922206196,-0.009445232
-2.915623614,-9.942273873,-0.00941315
-2.905686024,-9.962341549,-0.009381067
-2.895748434,-9.982409225,-0.009348985
-2.885810843,-10.0024769,-0.009316902
-2.875873253,-10.02254458,-0.009284819
-3.42406747,-8.882132048,-0.016622169
-3.414153941,-8.902247849,-0.016574045
-3.404240413,-8.922363649,-0.016525921
-3.394326885,-8.942479449,-0.016477797
-3.384413356,-8.96259525,-0.016429673
-3.374499828,-8.98271105,-0.016381549
-3.364586299,-9.00282685,-0.016333425
-3.354672771,-9.022942651,-0.016285301
-3.344759243,-9.043058451,-0.016237177
-3.334845714,-9.063174251,-0.016189053
-3.324932186,-9.083290052,-0.016140929
-3.315018657,-9.103405852,-0.016092806
-3.305105129,-9.123521652,-0.016044682
-3.295191601,-9.143637453,-0.015996558
-3.285278072,-9.163753253,-0.015948434
-3.275364544,-9.183869053,-0.01590031
-3.265451015,-9.203984854,-0.015852186
-3.255537487,-9.224100654,-0.015804062
-3.245623959,-9.244216454,-0.015755938
-3.23571043,-9.264332255,-0.015707814
-3.225796902,-9.284448055,-0.01565969
-3.215883373,-9.304563855,-0.015611566
-3.205969845,-9.324679656,-0.015563442
-3.196056317,-9.344795456,-0.015515318
-3.186142788,-9.364911256,-0.015467194
-3.17622926,-9.385027057,-0.015419071
-3.166315731,-9.405142857,-0.015370947
-3.156402203,-9.425258657,-0.015322823
-3.146488675,-9.445374458,-0.015274699
-3.136575146,-9.465490258,-0.015226575
-3.126661618,-9.485606059,-0.015178451
-3.11674809,-9.505721859,-0.015130327
-3.106834561,-9.525837659,-0.015082203
-3.096921033,-9.54595346,-0.015034079
-3.087007504,-9.56606926,-0.014985955
-3.077093976,-9.58618506,-0.014937831
-3.067180448,-9.606300861,-0.014889707
-3.057266919,-9.626416661,-0.014841583
-3.047353391,-9.646532461,-0.01479346
-3.037439862,-9.666648262,-0.014745336
-3.027526334,-9.686764062,-0.014697212
-3.017612806,-9.706879862,-0.014649088
-3.007699277,-9.726995663,-0.014600964
-2.997785749,-9.747111463,-0.01455284
-2.98787222,-9.767227263,-0.014504716
-2.977958692,-9.787343064,-0.014456592
-2.968045164,-9.807458864,-0.014408468
-2.958131635,-9.827574664,-0.014360344
-2.948218107,-9.847690465,-0.01431222
-2.938304578,-9.867806265,-0.014264096
-2.92839105,-9.887922065,-0.014215972
-2.918477522,-9.908037866,-0.014167849
-2.908563993,-9.928153666,-0.014119725
-2.898650465,-9.948269466,-0.014071601
-2.888736936,-9.968385267,-0.014023477
-2.878823408,-9.988501067,-0.013975353
-2.86890988,-10.00861687,-0.013927229
-3.415756627,-8.865509398,-0.022162892
